iter	Passed	Remaining
604	31691	20691
605	31752	20644
606	31819	20601
607	31879	20553
608	31944	20509
609	31999	20458
610	32035	20395
611	32091	20345
612	32139	20290
613	32219	20255
614	32280	20207
615	32331	20154
616	32384	20102
617	32445	20055
618	32500	20004
619	32548	19949
620	32611	19902
621	32667	19852
622	32737	19810
623	32794	19761
624	32852	19711
625	32910	19661
626	32967	19612
627	33026	19563
628	33081	19512
629	33144	19465
630	33208	19419
631	33278	19377
632	33331	19325
633	33396	19279
634	33451	19228
635	33502	19174
636	33555	19121
637	33596	19062
638	33649	19010
639	33723	18969
640	33790	18924
641	33846	18873
642	33900	18822
643	33959	18772
644	34026	18727
645	34083	18677
646	34136	18624
647	34177	18565
648	34230	18512
649	34289	18463
650	34333	18406
651	34379	18349
652	34433	18297
653	34472	18237
654	34533	18189
655	34603	18145
656	34661	18095
657	34725	18048
658	34775	17994
659	34826	17940
660	34886	17891
661	34957	17848
662	35015	17798
663	35068	17745
664	35120	17692
665	35172	17639
666	35231	17589
667	35289	17539
668	35356	17493
669	35419	17445
670	35476	17394
671	35527	17340
672	35591	17293
673	35646	17241
674	35702	17190
675	35759	17139
676	35817	17088
677	35879	17040
678	35930	16986
679	35990	16936
680	36043	16883
681	36101	16833
682	36154	16780
683	36226	16736
684	36289	16687
685	36349	16637
686	36407	16587
687	36469	16538
688	36519	16484
689	36566	16428
690	36613	16372
691	36672	16322
692	36721	16267
693	36776	16215
694	36824	16160
695	36880	16108
696	36954	16065
697	37029	16021
698	37082	15968
699	37158	15925
700	37218	15875
701	37286	15828
702	37356	15782
703	37428	15737
704	37489	15687
705	37527	15627
706	37584	15575
707	37653	15529
708	37712	15478
709	37760	15423
710	37804	15366
711	37863	15315
712	37924	15265
713	37979	15213
714	38038	15162
715	38115	15118
716	38180	15069
717	38235	15017
718	38296	14966
719	38357	14916
720	38404	14861
721	38462	14809
722	38523	14759
723	38593	14712
724	38657	14663
725	38724	14615
726	38787	14565
727	38854	14517
728	38911	14465
729	38971	14414
730	39024	14360
731	39070	14304
732	39128	14252
733	39172	14195
734	39229	14144
735	39289	14093
736	39344	14040
737	39410	13991
738	39464	13938
739	39515	13883
740	39573	13831
741	39629	13779
742	39682	13725
743	39734	13672
744	39797	13621
745	39847	13567
746	39911	13517
747	39973	13467
748	40025	13413
749	40093	13364
750	40146	13310
751	40193	13255
752	40246	13201
753	40326	13157
754	40410	13113
755	40467	13060
756	40527	13009
757	40583	12956
758	40648	12906
759	40696	12851
760	40753	12799
761	40824	12750
762	40875	12696
763	40931	12643
764	41013	12599
765	41076	12548
766	41128	12494
767	41184	12441
768	41251	12391
769	41310	12339
770	41376	12289
771	41421	12233
772	41482	12181
773	41530	12126
774	41590	12074
775	41662	12026
776	41703	11968
777	41755	11914
778	41826	11866
779	41869	11809
780	41926	11756
781	41979	11702
782	42035	11649
783	42096	11598
784	42147	11543
785	42214	11493
786	42278	11442
787	42340	11391
788	42392	11336
789	42452	11284
790	42511	11232
791	42566	11179
792	42617	11124
793	42670	11070
794	42729	11018
795	42770	10961
796	42837	10910
797	42901	10859
798	42962	10807
799	43041	10760
800	43090	10705
801	43144	10651
802	43199	10598
803	43245	10542
804	43299	10488
805	43364	10437
806	43425	10385
807	43493	10335
808	43548	10281
809	43596	10226
810	43646	10171
811	43706	10119
812	43769	10067
813	43820	10013
814	43883	9961
815	43957	9912
816	44014	9858
817	44073	9806
818	44135	9754
819	44180	9698
820	44229	9643
821	44282	9589
822	44348	9537
823	44408	9485
824	44468	9432
825	44526	9379
826	44590	9327
827	44658	9276
828	44695	9219
829	44754	9166
830	44823	9115
831	44885	9063
832	44944	9010
833	45003	8957
834	45061	8904
835	45126	8852
836	45179	8798
837	45238	8745
838	45301	8693
839	45370	8642
840	45444	8591
841	45503	8538
842	45572	8487
843	45644	8436
844	45696	8382
845	45750	8328
846	45810	8275
847	45875	8222
848	45938	8170
849	45997	8117
850	46058	8064
851	46099	8007
852	46153	7953
853	46209	7899
854	46267	7846
855	46329	7793
856	46378	7738
857	46430	7684
858	46493	7631
859	46553	7578
860	46612	7525
861	46678	7472
862	46735	7419
863	46813	7368
864	46854	7312
865	46917	7259
866	46975	7206
867	47034	7152
868	47086	7098
869	47136	7043
870	47191	6989
871	47249	6935
872	47317	6883
873	47370	6829
874	47431	6775
875	47490	6722
876	47538	6667
877	47611	6615
878	47662	6561
879	47710	6505
880	47758	6450
881	47810	6396
882	47872	6343
883	47916	6287
884	47985	6235
885	48049	6182
886	48105	6128
887	48161	6074
888	48222	6021
889	48279	5967
890	48338	5913
891	48396	5859
892	48460	5806
893	48518	5752
894	48575	5698
895	48639	5645
896	48697	5591
897	48767	5539
898	48822	5485
899	48878	5430
900	48938	5377
901	49000	5323
902	49062	5270
903	49124	5216
904	49185	5163
905	49228	5107
906	49286	5053
907	49349	5000
908	51206	5126
909	51274	5071
910	51348	5016
911	51415	4961
912	51475	4905
913	51539	4849
914	51596	4793
915	51672	4738
916	51720	4681
917	51772	4624
918	51834	4568
919	51886	4511
920	51956	4456
921	52016	4400
922	52072	4344
923	52111	4286
924	52173	4230
925	52233	4174
926	52283	4117
927	52343	4061
928	52396	4004
929	52445	3947
930	52487	3890
931	52539	3833
932	52590	3776
933	52649	3720
934	52711	3664
935	52767	3608
936	52819	3551
937	52887	3495
938	52947	3439
939	52992	3382
940	53038	3325
941	53105	3269
942	53164	3213
943	53218	3157
944	53269	3100
945	53333	3044
946	53527	2995
947	53593	2939
948	53657	2883
949	53730	2827
950	53798	2771
951	53860	2715
952	53924	2659
953	53991	2603
954	54055	2547
955	54122	2490
956	54182	2434
957	54247	2378
958	54302	2321
959	54356	2264
960	54407	2207
961	54466	2151
